Date,Open,High,Low,Close,Adj close*,Volume
01-Jan-15,301.83,304.29,300.13,314,303.32,"6,138,488"
02-Jan-15,303.66,307.48,303.66,315.25,304.53,"9,935,094"
05-Jan-15,305.5,306.03,301.49,312.75,302.11,"9,136,716"
06-Jan-15,299.46,300.52,288.54,299.9,289.7,"1,53,29,257"
07-Jan-15,289.8,292.26,285.11,300.15,289.94,"1,50,46,745"
08-Jan-15,294.63,296.08,292.07,304.85,294.48,"8,939,749"
09-Jan-15,296.27,297.38,291.73,303.2,292.89,"1,19,53,948"
12-Jan-15,293.81,297.33,290.86,307.1,296.66,"8,536,142"
13-Jan-15,297.67,300.18,293.81,305.1,294.72,"9,484,804"
14-Jan-15,293.66,296.56,291.97,304.7,294.34,"8,855,660"
15-Jan-15,309.02,312.69,303.32,320.3,309.41,"3,07,29,523"
16-Jan-15,309.12,309.41,302.45,315.45,304.72,"2,15,98,514"
19-Jan-15,305.79,307.14,301.87,313.15,302.5,"9,975,658"
20-Jan-15,303.32,308.93,303.32,318.15,307.33,"1,31,04,643"
21-Jan-15,309.02,316.46,308.15,326.2,315.11,"2,26,17,660"
22-Jan-15,315.78,316.46,310.86,324.65,313.61,"1,22,32,626"
23-Jan-15,317.09,321.24,313.61,327.45,316.31,"1,71,27,278"
27-Jan-15,316.31,320.86,311.63,330.05,318.83,"1,37,34,088"
28-Jan-15,319.16,324.57,317.04,334.6,323.22,"1,94,28,852"
29-Jan-15,321.48,322.26,314.04,327,315.88,"1,49,11,660"
30-Jan-15,317.52,319.26,296.56,308.95,298.44,"3,02,52,827"
02-Feb-15,298.98,301.29,294.72,307.5,297.04,"1,76,39,807"
03-Feb-15,301.39,301.39,288.88,300.3,290.09,"2,37,43,882"
04-Feb-15,292.41,292.65,281.97,293.05,283.08,"2,14,77,507"
05-Feb-15,283.18,287.67,279.37,290.8,280.91,"1,57,22,348"
06-Feb-15,281.1,284.82,275.98,290.3,280.43,"1,59,85,714"
09-Feb-15,279.66,282.84,268.55,279.5,270,"1,70,88,719"
10-Feb-15,268.06,280.91,266.32,287.3,277.53,"2,25,89,681"
11-Feb-15,280.91,283.52,274.05,285.95,276.23,"1,73,66,588"
12-Feb-15,279.08,279.17,268.84,284.3,274.63,"2,09,57,180"
13-Feb-15,278.21,297.48,275.65,306.95,296.51,"7,05,40,056"
16-Feb-15,300.04,302.5,294.34,306.7,296.27,"2,13,72,131"
18-Feb-15,296.27,297.43,291.73,305.7,295.3,"1,34,72,484"
19-Feb-15,295.69,296.85,286.71,302.35,292.07,"1,77,62,135"
20-Feb-15,291.63,296.08,286.95,302.3,292.02,"1,57,92,502"
23-Feb-15,292.89,294.24,284.39,296.55,286.47,"1,24,40,505"
24-Feb-15,286.8,288.83,282.17,296.25,286.18,"1,50,46,698"
25-Feb-15,288.83,290.43,284.97,295.55,285.5,"1,28,45,169"
26-Feb-15,286.9,286.9,278.25,289.4,279.56,"1,87,07,345"
27-Feb-15,281.35,290.76,280.24,299.9,289.7,"1,83,16,053"
02-Mar-15,295.5,295.5,286.61,302,291.73,"1,50,85,595"
03-Mar-15,293.18,295.01,289.51,302.6,292.31,"1,43,87,971"
04-Mar-15,303.32,304.29,282.07,293.85,283.86,"3,86,74,148"
05-Mar-15,284.73,286.18,279.9,293.8,283.81,"1,68,03,823"
09-Mar-15,283.81,284,278.88,290.65,280.77,"1,31,99,803"
10-Mar-15,280.86,283.28,275.41,287.6,277.82,"1,40,64,427"
11-Mar-15,278.74,281.01,274.1,285.15,275.45,"1,63,29,314"
12-Mar-15,278.35,279.61,276.37,286.85,277.1,"9,969,794"
13-Mar-15,280.14,281.15,270.48,280.75,271.2,"1,34,14,248"
16-Mar-15,271.93,274.2,270.48,281.65,272.07,"1,51,32,928"
17-Mar-15,274.25,274.34,270,283.1,273.47,"1,13,50,496"
18-Mar-15,274.44,278.64,272.41,287.3,277.53,"1,23,94,230"
19-Mar-15,280.14,280.43,271.06,281.6,272.02,"1,10,46,649"
20-Mar-15,272.22,272.8,267.39,278.25,268.79,"1,14,82,652"
23-Mar-15,269.9,270.48,264.25,274.75,265.41,"1,30,58,026"
24-Mar-15,264.49,267,259.85,270.55,261.35,"1,75,85,259"
25-Mar-15,262.65,262.85,255.99,265.4,256.37,"1,58,24,629"
26-Mar-15,255.51,256.86,246.52,256.65,247.92,"2,22,53,318"
27-Mar-15,251.01,255.94,247.29,263.6,254.64,"1,94,23,101"
30-Mar-15,256.09,260.19,254.2,267.9,258.79,"1,23,03,870"
31-Mar-15,259.76,262.12,256.95,267.05,257.97,"1,94,82,636"
01-Apr-15,257.58,265.31,254.2,273.45,264.15,"1,23,83,589"
06-Apr-15,264.15,266.37,261.98,274.65,265.31,"1,29,25,445"
07-Apr-15,265.94,266.95,261.11,272.05,262.8,"1,29,33,524"
08-Apr-15,262.65,267.92,262.61,273.9,264.59,"9,913,899"
09-Apr-15,265.65,272.22,263.23,280.85,271.3,"1,34,71,276"
10-Apr-15,271.44,277.58,270.53,285.75,276.03,"1,68,80,558"
13-Apr-15,278.01,278.69,273.71,286.3,276.56,"1,19,85,436"
15-Apr-15,276.56,284.44,276.23,290,280.14,"1,72,89,500"
16-Apr-15,280.38,284.24,276.76,292.4,282.46,"1,50,43,998"
17-Apr-15,281.1,284.87,279.37,291.75,281.83,"1,68,19,018"
20-Apr-15,281.1,283.37,275.16,287.65,277.87,"1,37,88,536"
21-Apr-15,277.63,282.07,272.17,289.2,279.37,"1,54,87,948"
22-Apr-15,280.67,283.28,266.03,283.85,274.2,"1,77,41,741"
23-Apr-15,275.31,277.63,266.86,277.65,268.21,"1,38,74,710"
24-Apr-15,268.88,270.09,265.02,275.55,266.18,"1,00,49,508"
27-Apr-15,267.15,267.15,257.05,267.05,257.97,"1,23,94,191"
28-Apr-15,257.92,264.2,256.13,272.5,263.23,"1,26,93,457"
29-Apr-15,262.99,264.1,260.38,271.9,262.65,"8,217,676"
30-Apr-15,260.92,264.15,257.63,269.75,260.58,"2,16,35,216"
04-May-15,260.58,268.55,260.58,277.15,267.73,"8,012,690"
05-May-15,267.58,267.58,262.12,272.05,262.8,"7,102,772"
06-May-15,262.22,264.3,254.3,265.4,256.37,"1,63,35,660"
07-May-15,255.02,258.16,250.82,260.95,252.08,"1,59,62,706"
08-May-15,255.02,258.89,251.45,261.95,253.04,"1,40,44,596"
11-May-15,254.44,267.77,253.67,276.05,266.66,"1,71,98,308"
12-May-15,265.94,266.03,257.29,267.4,258.31,"1,27,92,368"
13-May-15,260.72,265.65,258.93,274.3,264.97,"9,245,732"
14-May-15,264.68,272.31,263.67,280.95,271.4,"1,31,01,418"
15-May-15,272.41,278.54,272.41,287.45,277.68,"1,82,47,889"
18-May-15,280.04,280.14,275.69,289.75,279.9,"1,32,66,119"
19-May-15,279.37,281.44,276.47,288.45,278.64,"1,45,41,041"
20-May-15,279.66,284.78,279.41,292.6,282.65,"1,18,07,544"
21-May-15,284,284.73,278.64,290.25,280.38,"1,21,18,415"
22-May-15,283.04,294.63,271.2,282.45,272.85,"6,94,90,117"
25-May-15,270.67,274.63,266.76,277.65,268.21,"2,03,56,833"
26-May-15,269.51,271.25,266.61,277.15,267.73,"9,675,703"
27-May-15,267.58,272.02,264.88,280.75,271.2,"1,21,76,680"
28-May-15,273.7,273.7,270.08,277.6,271.55,"1,30,24,987"
29-May-15,272.57,275.51,271.06,278.15,272.08,"1,48,09,918"
01-Jun-15,272.57,275.85,271.5,278.2,272.13,"1,15,67,692"
02-Jun-15,272.72,273.36,259.56,266.25,260.44,"2,16,53,784"
03-Jun-15,261.18,261.47,249.49,257.4,251.79,"2,59,67,877"
04-Jun-15,254.23,255.7,248.22,257.6,251.98,"2,02,10,546"
05-Jun-15,251.39,256.29,250.03,257.8,252.18,"1,35,39,638"
08-Jun-15,253.11,253.11,247.04,254.95,249.39,"1,73,84,700"
09-Jun-15,249.44,252.67,248.46,257.6,251.98,"1,52,75,972"
10-Jun-15,253.35,256.82,252.86,260.6,254.92,"1,09,10,978"
11-Jun-15,256.53,257.21,247.14,254,248.46,"2,08,57,622"
12-Jun-15,248.51,249.93,246.31,253.95,248.41,"1,14,40,479"
15-Jun-15,249.44,250.03,243.42,250.25,244.79,"1,35,45,280"
16-Jun-15,244.79,250.17,243.57,254.6,249.05,"9,896,598"
17-Jun-15,250.42,251.3,247.97,255.1,249.54,"1,12,41,061"
18-Jun-15,250.86,255.01,249.63,258.1,252.47,"1,15,98,549"
19-Jun-15,254.23,257.36,252.52,260.15,254.48,"1,22,16,399"
22-Jun-15,255.21,261.57,255.11,266,260.2,"1,10,51,382"
23-Jun-15,263.52,265.28,260.44,267.75,261.91,"1,61,80,083"
24-Jun-15,261.86,262.06,254.82,262.35,256.63,"8,361,760"
25-Jun-15,255.55,260.2,253.4,264.8,259.02,"1,65,06,503"
26-Jun-15,258.34,261.08,255.36,265.2,259.42,"1,45,88,452"
29-Jun-15,253.11,255.11,249.44,259.65,253.99,"1,50,40,805"
30-Jun-15,253.6,257.61,251.98,262.75,257.02,"1,41,81,965"
01-Jul-15,257.36,263.62,256.82,267.75,261.91,"1,20,72,024"
02-Jul-15,262.06,265.33,260.3,267.85,262.01,"8,741,783"
03-Jul-15,261.52,264.11,260.98,269.4,263.52,"7,238,541"
06-Jul-15,257.46,265.58,256.29,270.8,264.89,"9,458,200"
07-Jul-15,264.5,268.66,264.11,272.9,266.95,"1,25,23,410"
08-Jul-15,264.01,265.09,259.81,267.35,261.52,"1,26,69,850"
09-Jul-15,261.18,265.38,261.18,267.75,261.91,"6,469,504"
10-Jul-15,264.36,265.09,260.44,270.55,264.65,"8,788,162"
13-Jul-15,266.07,268.37,262.06,273.7,267.73,"8,423,083"
14-Jul-15,267.63,267.63,261.32,268.2,262.35,"1,03,37,307"
15-Jul-15,262.89,265.77,261.32,268.05,262.2,"7,483,918"
16-Jul-15,263.87,266.8,262.25,272.2,266.26,"8,354,120"
17-Jul-15,266.46,268.02,264.6,271.1,265.19,"5,571,891"
20-Jul-15,266.07,266.07,260.35,267.45,261.62,"6,418,930"
21-Jul-15,261.18,263.92,257.75,264.3,258.54,"5,638,653"
22-Jul-15,257.95,263.52,256.19,268.55,262.69,"1,13,22,177"
23-Jul-15,262.64,266.07,261.42,270.05,264.16,"6,376,216"
24-Jul-15,262.84,264.45,256.38,263.25,257.51,"7,796,401"
27-Jul-15,257.46,257.66,252.42,258.45,252.81,"6,788,558"
28-Jul-15,254.57,258.14,252.72,259.2,253.55,"1,07,88,886"
29-Jul-15,254.33,255.01,246.8,253.6,248.07,"9,997,136"
30-Jul-15,248.07,253.84,248.07,256.8,251.2,"1,05,36,937"
31-Jul-15,252.37,267.78,251.93,270.05,264.16,"2,05,34,806"
03-Aug-15,264.11,276.83,264.01,281.05,274.92,"2,19,01,780"
04-Aug-15,276.34,283.63,270.37,288.6,282.31,"2,88,58,887"
05-Aug-15,282.79,285.44,278.05,285.4,279.18,"1,01,69,558"
06-Aug-15,279.37,284.46,275.85,289.05,282.75,"1,53,72,143"
07-Aug-15,282.21,282.21,274.09,281.3,275.16,"1,38,45,614"
10-Aug-15,275.9,279.76,273.99,282.75,276.58,"1,46,94,901"
11-Aug-15,279.57,283.14,261.67,268.8,262.94,"3,92,33,644"
12-Aug-15,261.62,261.62,249.49,256.35,250.76,"2,97,24,325"
13-Aug-15,254.08,257.12,252.52,259.3,253.64,"1,63,60,033"
14-Aug-15,256.19,263.52,253.6,268.5,262.64,"1,48,52,873"
17-Aug-15,266.07,275.75,264.89,279.75,273.65,"2,75,00,063"
18-Aug-15,274.68,281.72,269.54,284.8,278.59,"2,77,28,824"
19-Aug-15,277.71,279.71,269.54,278,271.94,"1,54,52,575"
20-Aug-15,271.59,275.51,262.15,270.55,264.65,"1,45,77,599"
21-Aug-15,255.8,263.04,250.61,267.5,261.67,"1,90,30,056"
24-Aug-15,249.14,252.08,237.11,245.4,240.05,"2,95,61,705"
25-Aug-15,244.55,249.24,234.77,253.35,247.82,"2,34,92,839"
26-Aug-15,246.99,247.78,239.66,245.7,240.34,"1,63,25,529"
27-Aug-15,245.67,246.5,242.69,249.45,244.01,"2,10,76,926"
28-Aug-15,248.95,250.32,242.05,248.95,243.52,"1,66,44,381"
31-Aug-15,243.57,245.87,239.66,247.35,241.96,"2,16,45,114"
01-Sep-15,239.51,239.51,232.52,239.1,233.89,"1,96,89,080"
02-Sep-15,237.36,237.7,225.08,230.55,225.52,"2,36,55,457"
03-Sep-15,227.58,230.27,225.96,232.25,227.18,"1,46,80,299"
04-Sep-15,226.84,226.84,219.11,225.15,220.24,"2,04,66,346"
07-Sep-15,222.15,222.54,215.35,221.1,216.28,"1,54,24,783"
08-Sep-15,218.14,225.23,216.33,228.35,223.37,"1,61,89,253"
09-Sep-15,228.85,229.39,224.1,231.65,226.6,"1,82,37,115"
10-Sep-15,222.39,224.79,219.21,227.45,222.49,"1,41,95,882"
11-Sep-15,225.86,228.21,223.03,230.1,225.08,"1,36,50,937"
14-Sep-15,226.5,230.85,224.98,235.25,230.12,"1,06,71,222"
15-Sep-15,230.07,233.25,227.58,232.9,227.82,"1,31,93,410"
16-Sep-15,231.24,232.56,229.87,236.8,231.64,"1,12,72,509"
18-Sep-15,231.64,241.07,231.64,242,236.72,"1,60,49,395"
21-Sep-15,234.33,240.63,232.08,245.25,239.9,"9,602,436"
22-Sep-15,242.54,243.03,231.1,237.95,232.76,"1,36,67,322"
23-Sep-15,229.87,236.62,228.51,239.85,234.62,"1,36,14,082"
24-Sep-15,234.23,236.18,232.86,239.05,233.84,"9,299,508"
28-Sep-15,233.84,238.34,233.44,239.45,234.23,"8,588,230"
29-Sep-15,230.85,240.05,227.14,241.9,236.62,"2,44,88,685"
30-Sep-15,239.51,240.05,230.56,237.15,231.98,"1,70,11,911"
01-Oct-15,235.94,236.62,229.29,235.15,230.02,"1,15,90,498"
05-Oct-15,230.02,236.09,230.02,240,234.77,"1,83,07,463"
06-Oct-15,237.41,237.5,232.52,240.1,234.86,"1,00,87,077"
07-Oct-15,234.91,238.92,233.84,243.55,238.24,"1,06,08,795"
08-Oct-15,237.16,239.85,235.84,243.3,237.99,"9,230,511"
09-Oct-15,240.15,242.4,235.4,243.45,238.14,"1,21,71,416"
12-Oct-15,238.78,240.29,236.04,244.55,239.22,"7,566,962"
13-Oct-15,238.68,242.1,236.77,243.8,238.48,"1,02,00,698"
14-Oct-15,238.38,241.42,237.9,244.25,238.92,"7,895,820"
15-Oct-15,240.63,244.45,240.15,248.95,243.52,"1,15,82,401"
16-Oct-15,244.4,251.54,242.93,256.8,251.2,"1,17,38,832"
19-Oct-15,251.05,251.49,247.97,254.5,248.95,"8,969,153"
20-Oct-15,248.95,251.49,247.68,254.85,249.29,"8,811,740"
21-Oct-15,248.46,250.32,243.13,249.8,244.35,"8,606,466"
23-Oct-15,244.35,249.29,244.35,253.4,247.87,"7,544,810"
26-Oct-15,249.19,250.42,244.89,251.25,245.77,"1,30,85,058"
27-Oct-15,244.65,246.7,242.69,248.8,243.37,"6,565,348"
28-Oct-15,242.59,244.01,235.94,242.05,236.77,"1,23,10,403"
29-Oct-15,236.23,236.53,231.29,236.95,231.78,"1,61,14,932"
02-Nov-15,232.81,232.81,227.62,236.9,231.73,"7,611,610"
03-Nov-15,234.13,234.47,229.87,235.95,230.8,"8,323,201"
04-Nov-15,233.98,235.25,231.83,239,233.79,"8,418,352"
05-Nov-15,232.81,233.79,228.02,233.9,228.8,"8,906,564"
06-Nov-15,230.46,239.46,227.92,243,237.7,"3,08,21,077"
09-Nov-15,230.85,242.88,230.46,246.1,240.73,"2,28,06,485"
10-Nov-15,239.56,241.86,234.86,241.2,235.94,"1,17,67,845"
13-Nov-15,237.7,238.92,232.52,240.25,235.01,"1,11,43,743"
16-Nov-15,234.28,243.91,233.89,248.3,242.88,"1,40,51,479"
17-Nov-15,244.55,246.16,241.32,247.85,242.44,"1,12,73,394"
18-Nov-15,242.2,243.28,234.23,241,235.74,"1,03,97,889"
19-Nov-15,237.75,239.66,236.13,243.9,238.58,"7,325,199"
20-Nov-15,238.63,244.45,236.72,242.95,237.65,"1,37,18,619"
23-Nov-15,238.58,239.9,235.3,242.7,237.41,"1,05,52,151"
24-Nov-15,237.21,238.68,235.35,241.4,236.13,"6,651,669"
26-Nov-15,236.13,239.56,235.74,242.5,237.21,"1,36,29,888"
27-Nov-15,237.7,245.04,237.5,249.7,244.25,"1,51,49,912"
30-Nov-15,244.2,247.48,239.66,248.65,243.23,"1,28,65,469"
01-Dec-15,245.38,246.41,243.86,250.2,244.74,"9,501,537"
02-Dec-15,245.09,245.18,238.43,244.6,239.27,"1,08,81,754"
03-Dec-15,238.82,239.17,235.16,241.1,235.84,"7,155,630"
04-Dec-15,234.77,236.87,232.86,241.1,235.84,"1,11,15,170"
07-Dec-15,237.65,237.65,232.81,238.65,233.44,"7,531,729"
08-Dec-15,232.91,234.72,230.17,235.95,230.8,"8,254,434"
09-Dec-15,230.27,233,228.51,234.4,229.29,"7,408,777"
10-Dec-15,230.85,231.59,225.57,231.95,226.89,"1,17,13,559"
11-Dec-15,227.82,228.8,220.19,227.3,222.34,"1,28,72,949"
14-Dec-15,219.99,222.73,219.11,225.95,221.02,"1,24,64,883"
15-Dec-15,222.05,222.2,219.11,226.4,221.46,"1,04,04,430"
16-Dec-15,222.78,224.59,220.34,227.3,222.34,"1,30,30,720"
17-Dec-15,224.98,227.33,223.52,230.9,225.86,"1,45,39,096"
18-Dec-15,224.93,227.28,220.88,226.5,221.56,"1,88,71,084"
21-Dec-15,221.95,225.96,221.56,230.45,225.42,"9,557,098"
22-Dec-15,226.6,227.18,222.54,228.35,223.37,"9,155,574"
23-Dec-15,225.23,225.96,223.91,229.65,224.64,"7,914,311"
24-Dec-15,225.82,225.96,222.64,228.3,223.32,"7,257,958"
28-Dec-15,223.32,224.93,223.03,228.9,223.91,"8,756,879"
29-Dec-15,223.86,224.93,222.54,228.2,223.22,"7,263,286"
30-Dec-15,224.01,224.69,219.95,225.8,220.88,"1,17,02,877"
31-Dec-15,221.02,221.61,219.11,224.45,219.55,"1,15,58,305"
